time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.678025711488329e-07,-9.097557712360107e-08,10.007111983440621,6.282893515320463,0.000463993950565289,0.0,-5.467134747885084e-05,-1.7931947208094357e-05,0.23704629872186578,-0.016997846163370453,0.019900091686899084,0.0,477.9489203744902,479.46284531561935,478.7663764660705,477.47166546181114
0.12000000000000001,-1.914965683501633e-05,-1.1797819320920276e-05,10.025902136325502,6.281930912145331,0.0016262951953578408,0.0,-0.0006906802581236207,-0.00048098627924233225,0.38925173122356777,-0.01419980120067632,0.018293453082125842,0.0,452.9264716734111,452.79721228317106,453.5066553522227,453.7314045830994
0.18,-0.00010517694218245904,-7.162444288789388e-05,10.056024653518518,6.282777257939944,0.002562842297822776,0.0,-0.0023001316895977847,-0.001480316010037436,0.6147375944392864,0.04323115874833992,0.009612724375317542,0.0,475.39840794921633,474.7327884066389,473.2149374983343,477.6146761508127
0.23999999999999996,-0.00030899879570406655,-0.00015873988771648403,10.09994482269477,0.0018732914383310373,0.002930937171775838,0.0,-0.004552490508126275,-0.0011229297679002763,0.8491230574108296,0.024766344965569603,-0.0019316683552033638,0.0,479.2115771726532,478.3332747258211,478.05685050853805,476.64856957678353
0.3,-0.0006374863372415325,-0.00018496511139522243,10.152258207784842,0.0036444432183433406,0.0027970228710350042,0.0,-0.006385268220174765,0.0004029584092251052,0.8946213117012504,0.03764193127644966,-0.002839284604224217,0.0,419.53728194486945,419.4585261950319,419.9462542833324,421.06179148676654
0.36000000000000004,-0.0010759316380432482,-7.969432802048439e-05,10.20820498631016,0.006053017311368869,0.002851656729720098,0.0,-0.008224592684012282,0.003335824543845081,0.97020881605169,0.044725448996868124,0.007517001695224559,0.0,428.7587141983955,429.6375482880581,430.32795341844053,430.92795229786555
0.4200000000000001,-0.001635003659040076,0.0002667968543415494,10.271111704589723,0.008646717061370879,0.0029290058235824645,0.0,-0.010444812429660284,0.0085042990561574,1.1265384163461518,0.04005307056909636,-0.01563380090548383,0.0,457.090577788475,455.2421199041817,454.79362485789073,454.4202726129606
0.48000000000000015,-0.002320555788896068,0.0009714534049291129,10.342412274898104,0.011195096459649001,0.001973701249101012,0.0,-0.01230673714526832,0.015244643496786137,1.2500178452628545,0.04691871548140261,-0.016503907335699106,0.0,445.4602872411073,445.3892325159748,445.44428035293754,446.00628484967115
0.5400000000000001,-0.0031026042351529866,0.0021724144566179077,10.424183892030829,0.013591198410058958,0.0008197257005360115,0.0,-0.013632614275075724,0.0251057787243733,1.4754356768600507,0.019879221511654367,-0.025341351205309857,0.0,477.083781347795,476.4086724821835,477.44846110536133,475.38187809983214
0.6000000000000002,-0.003929763767254117,0.003916516607969405,10.512254436593956,0.014959711140824616,6.282190151629077,0.0,-0.013799790864463722,0.03314048782398953,1.4602671141666683,0.028102975152778792,-0.04251774500540388,0.0,401.85888996487836,400.298549227961,400.45086641730535,401.19827660146734
0.6600000000000003,-0.0047282951918590594,0.00621257827050314,10.60234861205278,0.016758302164289418,6.279738704042002,0.0,-0.01256962253577985,0.0435666496828509,1.542760817945721,0.03348186651288162,-0.0377288749477898,0.0,433.5557371078918,433.9569433868714,432.9370290075639,433.38963504455654
0.7200000000000003,-0.005387321748523191,0.009249834311011512,10.701953921098642,0.018309779989590602,6.276973211830981,0.0,-0.009105710461172568,0.05789596196746479,1.7770765546716811,0.0027335913858807914,-0.07343017620282995,0.0,480.3786959175291,477.6626180539536,482.0017059807779,479.6725938282154
0.7800000000000004,-0.005755597791075288,0.013188880311047597,10.8162782084979,0.018646722018040407,6.27269487824633,0.0,-0.0026302514824529714,0.0734296880289936,2.03330854686103,0.010833458928139233,-0.06736504978467964,0.0,487.1402676648724,487.5901229279578,486.2153209484607,486.8216379892811
0.8400000000000004,-0.005682151018008784,0.017981125930895358,10.941216773598203,0.019114453152454303,6.268903128854815,0.0,0.005473636025268467,0.08636591169134275,2.13112676321031,0.0008966373643049439,-0.05594734968708443,0.0,440.1041200634657,441.04509655409134,440.3994601877865,439.5767242673734
0.9000000000000005,-0.00498405952704337,0.02363798740601033,11.076221361788596,0.01967742419387708,6.2652360708668375,0.0,0.018215399025584812,0.1022294176770788,2.3685574002633256,0.0224753228244801,-0.07424167479028293,0.0,484.2819169951573,482.9015106933414,481.17078938822885,482.8014518556492
0.9600000000000005,-0.003492277944230075,0.030194963871101065,11.221923202805707,0.020859491439654043,6.260905167389328,0.0,0.031966242554478184,0.11646440763411384,2.487905938509371,0.01347870625098484,-0.0683529630251379,0.0,448.3887823532199,448.8629228315157,448.63370648845626,447.902617861401
1.0200000000000005,-0.0010195042171022091,0.03768837039027658,11.377607598254086,0.02166759575931998,6.256627441659415,0.0,0.05094503149879545,0.1334011625465751,2.7010801153002433,0.013447796101288259,-0.07794337181814197,0.0,477.2925473627391,476.55650565572665,477.58116493431595,477.57867761974165
1.0800000000000005,0.0026217386505084407,0.04615730542127281,11.543330881373913,0.022435915962606856,6.252222523833876,0.0,0.07089805676533315,0.14897249413356603,2.822719841746795,0.011488452534282406,-0.0656277415114602,0.0,449.9132719473674,450.9051034240137,451.22195394793084,451.0636296926624
1.1400000000000006,0.007508236659753561,0.05554597565085252,11.714988721504321,0.023458417181868363,6.247849886165195,0.0,0.09238172236712468,0.16406422659077827,2.899000265881695,0.02631558412836166,-0.09413996826672309,0.0,438.0719619056986,435.69002547218736,436.8740137879414,438.10850009264004
